region,capital,latitude,longitude,temperature_c,humidity_pct,precipitation_mm,wind_kmh,pressure_hpa,weather_code,observed_at,source,risk_score,risk_level,signals
Andhra Pradesh,Amaravati,16.5062,80.648,33.0,61,0.0,2.2,1005.3,3,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Arunachal Pradesh,Itanagar,27.0844,93.6053,30.9,65,0.0,2.6,982.0,3,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Assam,Dispur,26.1445,91.7362,30.3,78,0.0,9.5,1007.7,3,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Bihar,Patna,25.5941,85.1376,32.8,59,0.0,6.8,1006.6,0,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Chhattisgarh,Raipur,21.2514,81.6296,32.0,60,0.0,9.1,979.4,0,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Goa,Panaji,15.4909,73.8278,30.2,71,0.0,10.6,1005.2,1,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Gujarat,Gandhinagar,23.0225,72.5714,30.8,66,0.0,6.8,1006.6,0,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Haryana,Chandigarh,30.7333,76.7794,30.9,50,0.0,4.0,977.0,0,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Himachal Pradesh,Shimla,31.1048,77.1734,21.3,38,0.0,6.5,794.7,1,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Jharkhand,Ranchi,23.3441,85.3096,28.8,72,0.0,11.8,943.7,1,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Karnataka,Bengaluru,12.9716,77.5946,26.2,70,0.0,10.3,915.4,3,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Kerala,Thiruvananthapuram,8.5241,76.9366,26.6,86,0.4,16.7,1013.3,80,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Madhya Pradesh,Bhopal,23.2599,77.4126,28.7,72,0.0,6.5,959.0,0,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Maharashtra,Mumbai,19.076,72.8777,29.4,78,0.0,4.2,1012.2,0,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Manipur,Imphal,24.817,93.9368,26.6,79,0.1,6.7,930.8,95,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Meghalaya,Shillong,25.5788,91.8933,21.4,89,0.0,7.8,864.5,3,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Mizoram,Aizawl,23.7271,92.7176,24.8,77,0.0,5.9,898.6,3,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Nagaland,Kohima,25.6751,94.1086,23.0,84,0.0,2.6,864.8,3,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Odisha,Bhubaneswar,20.2961,85.8245,31.6,66,0.1,11.0,1006.3,51,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Punjab,Chandigarh,30.7333,76.7794,30.9,50,0.0,4.0,977.0,0,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Rajasthan,Jaipur,26.9124,75.7873,31.2,48,0.0,6.8,967.1,0,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
Sikkim,Gangtok,27.3389,88.6065,25.2,52,0.0,5.7,861.0,2,2026-09-20T11:15,Open-Meteo,0.0,LOW,No major prototype signal
